A1E,Garganey,Spatula querquedula,,
,Island Collared-Dove,Streptopelia bitorquata,ADD,
A5F,Nicobar Pigeon,Caloenas nicobarica,,
,Black-naped Fruit-Dove,Ptilinopus melanospilus,ADD,
,Negros Fruit-Dove,Ptilinopus arcanus,ADD,
,Spotted Imperial-Pigeon,Ducula carola,ADD,
A6F,Indian Cuckoo,Cuculus micropterus,,
A6F,Himalayan Cuckoo,Cuculus saturatus,,
A6B,Chestnut-winged Cuckoo,Clamator coromandus,,
A6C,Violet Cuckoo,Chrysococcyx xanthorhynchus,,
A6D,Square-tailed Drongo-Cuckoo,Surniculus lugubris,,
A8A,Great Eared-Nightjar,Lyncornis macrotis,,
A8A,Gray Nightjar,Caprimulgus jotaka,,
,Brown-backed Needletail,Hirundapus giganteus,ADD,
,Uniform Swiftlet,Aerodramus vanikorensis,ADD,
B2A,Slaty-breasted Rail,Lewinia striata,,
B2B,Philippine Swamphen,Porphyrio pulverulentus,,
,Red-legged Crake,Rallina fasciata,ADD,
B2E,Slaty-legged Crake,Rallina eurizonoides,,
B2E,Ruddy-breasted Crake,Zapornia fusca,,
,Baillon's Crake,Zapornia pusilla,ADD,
B4F,Pheasant-tailed Jacana,Hydrophasianus chirurgus,,
B4Q,Small Buttonquail,Turnix sylvaticus,,
B5A,Pomarine Jaeger,Stercorarius pomarinus,,
B6E,Roseate Tern,Sterna dougallii,,
B7A,Red-tailed Tropicbird,Phaethon rubricauda,,
B8A,Bulwer's Petrel,Bulweria bulwerii,,
B8B,Streaked Shearwater,Calonectris leucomelas,,
B9A,Woolly-necked Stork,Ciconia episcopus,,
,Christmas Island Frigatebird,Fregata andrewsi,ADD,
C1A,Great Frigatebird,Fregata minor,,
C1C,Red-footed Booby,Sula sula,,
,Oriental Darter,Anhinga melanogaster,ADD,
C4A,Schrenck's Bittern,Ixobrychus eurhythmus,,
C4B,Great-billed Heron,Ardea sumatrana,,
,Chinese Pond-Heron,Ardeola bacchus,ADD,
C4F,Japanese Night-Heron,Gorsachius goisagi,,
C4F,Malayan Night-Heron,Gorsachius melanolophus,,
C5B,Black-winged Kite,Elanus caeruleus,,
,Crested Serpent-Eagle,Spilornis cheela,ADD,
C5G,Pied Harrier,Circus melanoleucos,,
C5H,Japanese Sparrowhawk,Accipiter gularis,,
C5J,Gray-headed Fish-Eagle,Haliaeetus ichthyaetus,,
C6F,Brown Boobook,Ninox scutulata,,
,Black-backed Dwarf-Kingfisher,Ceyx erithaca,ADD,
D1E,Ruddy Kingfisher,Halcyon coromanda,,
,White-throated Kingfisher,Halcyon smyrnensis,ADD,
D1E,Rufous-lored Kingfisher,Todiramphus winchelli,,TARGET
,Blue-throated Bee-eater,Merops viridis,ADD,
,Azure-rumped Parrot,Tanygnathus sumatranus,ADD,
E2A,Ashy Minivet,Pericrocotus divaricatus,,
,Black-and-cinnamon Fantail,Rhipidura nigrocinnamomea,ADD,TARGET
E9B,Rufous Paradise-Flycatcher,Terpsiphone cinnamomea,,TARGET
,Tiger Shrike,Lanius tigrinus,ADD,
,Slender-billed Crow,Corvus enca,ADD,
F8C,Gray's Grasshopper-Warbler,Locustella fasciolata,,
F8C,Middendorff's Grasshopper-Warbler,Locustella ochotensis,,
F8D,Lanceolated Warbler,Locustella lanceolata,,
,Gray-throated Martin,Riparia chinensis,ADD,
G4F,Everett's White-eye,Zosterops everetti,,
,Short-tailed Starling,Aplonis minor,ADD,
H1E,Chestnut-tailed Jungle-Flycatcher,Cyornis ruficauda,,
H1G,Siberian Rubythroat,Calliope calliope,,
H3B,Thick-billed Flowerpecker,Dicaeum agile,,
H3B,Red-keeled Flowerpecker,Dicaeum australe,,
,Scarlet-collared Flowerpecker,Dicaeum retrocinctum,ADD,
,Gray-throated Sunbird,Anthreptes griseigularis,ADD,
C4B,Gray Heron,Ardea cinerea,,
G7A,Sulphur-billed Nuthatch,Sitta oenochlamys,,
H4D,Maroon-naped Sunbird,Aethopyga guimarasensis,,TARGET
B4H,Black-tailed Godwit,Limosa limosa,,
C5H,Besra,Accipiter virgatus,,
B4A,Beach Thick-knee,Esacus magnirostris,,
C5J,White-bellied Sea-Eagle,Haliaeetus leucogaster,,
H9B,Pechora Pipit,Anthus gustavi,,
A9C,Gray-rumped Swiftlet,Collocalia marginata,,
C4A,Black Bittern,Ixobrychus flavicollis,,
A9A,Philippine Spinetailed Swift,Mearnsia picina,,
E9A,Black-naped Monarch,Hypothymis azurea,,
,Visayan Hornbill,Penelopides panini,ADD,TARGET
B6E,Whiskered Tern,Chlidonias hybrida,,
G1A,Yellow-wattled Bulbul,Brachypodius urostictus,,
A4A,Little Grebe,Tachybaptus ruficollis,,
H4C,Olive-backed Sunbird,Cinnyris jugularis,,
B4P,Wood Sandpiper,Tringa glareola,,
,Turquoise Flycatcher,Eumyias panayensis,ADD,
A1A,Wandering Whistling-Duck,Dendrocygna arcuata,,
,Bank Swallow,Riparia riparia,ADD,
,Crimson Rosella,Platycercus elegans,ADD,
E4A,Black-naped Oriole,Oriolus chinensis,,
A7A,Philippine Frogmouth,Batrachostomus septimus,,
A6E,Large Hawk-Cuckoo,Hierococcyx sparverioides,,
D5D,Oriental Hobby,Falco severus,,
D5E,Peregrine Falcon,Falco peregrinus,,
G1D,Visayan Bulbul,Hypsipetes guimarasensis,,TARGET
B6E,Gull-billed Tern,Gelochelidon nilotica,,
,Forest Wagtail,Dendronanthus indicus,ADD,
,Yellow-faced Flameback,Chrysocolaptes xanthocephalus,ADD,TARGET
H7C,Chestnut Munia,Lonchura atricapilla,,
C5H,Chinese Sparrowhawk,Accipiter soloensis,,
F5A,Australasian Bushlark,Mirafra javanica,,
G8D,Chestnut-cheeked Starling,Agropsar philippensis,,
H1L,Pied Bushchat,Saxicola caprata,,
B2B,Eurasian Moorhen,Gallinula chloropus,,
C4D,Javan Pond-Heron,Ardeola speciosa,,
,Negros Scops-Owl,Otus nigrorum,ADD,TARGET
F7A,Clamorous Reed Warbler,Acrocephalus stentoreus,,
,Flame-templed Babbler,Dasycrotapha speciosa,ADD,TARGET
,Writhe-billed Hornbill,Rhabdotorrhinus waldeni,ADD,
,Green-faced Parrotfinch,Erythrura viridifacies,ADD,
H9C,Olive-backed Pipit,Anthus hodgsoni,,
H1D,Mangrove Blue Flycatcher,Cyornis rufigastra,,
B4P,Common Greenshank,Tringa nebularia,,
G8C,Coleto,Sarcops calvus,,
D1E,Brown-breasted Kingfisher,Halcyon gularis,,
A9C,Philippine Swiftlet,Aerodramus mearnsi,,
A9D,House Swift,Apus nipalensis,,
C4F,Black-crowned Night-Heron,Nycticorax nycticorax,,
A6C,Asian Koel,Eudynamys scolopaceus,,
B4D,Malaysian Plover,Charadrius peronii,,
E1A,Golden-bellied Gerygone,Gerygone sulphurea,,
A6C,Brush Cuckoo,Cacomantis variolosus,,
B4K,Curlew Sandpiper,Calidris ferruginea,,
H3B,Orange-bellied Flowerpecker,Dicaeum trigonostigma,,
F6C,Golden-headed Cisticola,Cisticola exilis,,
A6A,Lesser Coucal,Centropus bengalensis,,
H4D,Handsome Sunbird,Aethopyga bella,,
A6A,Philippine Coucal,Centropus viridis,,
C4A,Yellow Bittern,Ixobrychus sinensis,,
H3B,Bicolored Flowerpecker,Dicaeum bicolor,,
H7D,Java Sparrow,Lonchura oryzivora,,
,White-shouldered Starling,Sturnia sinensis,ADD,
B4Q,Barred Buttonquail,Turnix suscitator,,
E8A,Balicassiao,Dicrurus balicassius,,TARGET
