code,name
A1A,Wandering Whistling-Duck
B4D,Malaysian Plover
C5E,Rufous-bellied Eagle
B4D,Black-bellied Plover
A9C,Gray-rumped Swiftlet
D1E,Stork-billed Kingfisher
,Tufted Duck
A5A,Rock Pigeon
,Visayan Hornbill
D2A,Rufous-crowned Bee-eater
C4A,Yellow Bittern
,Rosy Starling
,Blue-and-white Flycatcher
D7A,Blue-crowned Racquet-tail
C5E,Pinsker's Hawk-Eagle
C4F,Black-crowned Night-Heron
,Aleutian Tern
B4G,Far Eastern Curlew
H7C,Scaly-breasted Munia
,Ashy-breasted Flycatcher
D2A,Blue-tailed Bee-eater
E5A,White-breasted Woodswallow
B4K,Long-toed Stint
,Bundok Flycatcher
B6E,White-winged Tern
C5A,Osprey
B4P,Common Sandpiper
C4C,Pacific Reef-Heron
B4G,Eurasian Curlew
G1A,Yellow-vented Bulbul
C4D,Javan Pond-Heron
A5I,Pink-necked Green-Pigeon
C4C,Cattle Egret
C5C,Oriental Honey-buzzard
A5H,White-eared Brown-Dove
F1A,Long-tailed Shrike
A5A,Metallic Pigeon
B4P,Marsh Sandpiper
C6F,Luzon Boobook
F6B,Visayan Tailorbird
F9C,Barn Swallow
,Negros Bleeding-heart
B4D,Kentish Plover
D2B,Dollarbird
E7D,Philippine Pied-Fantail
A5D,Spotted Dove
B4P,Wood Sandpiper
,Yellowish White-eye
H1B,Philippine Magpie-Robin
B2D,Plain Bush-hen
B4J,Red Knot
,Sunda Thrush
B4G,Whimbrel
G8A,Stripe-sided Rhabdornis
H1L,Pied Bushchat
E9A,Black-naped Monarch
C5H,Besra
A5J,Black-chinned Fruit-Dove
G8B,Asian Glossy Starling
,Visayan Fantail
G2C,Arctic Warbler
B2A,Barred Rail
B4O,Red-necked Phalarope
B6D,Sooty Tern
,Crested Myna
D1E,Collared Kingfisher
A2A,Tabon Scrubfowl
B4D,Little Ringed Plover
A5K,Green Imperial-Pigeon
H1H,Narcissus Flycatcher
A4A,Little Grebe
A6F,Oriental Cuckoo
A8A,Philippine Nightjar
D7E,Philippine Hanging-Parrot
D1E,Brown-breasted Kingfisher
A9C,Pygmy Swiftlet
F9C,Striated Swallow
D4A,Philippine Woodpecker
H1A,Gray-streaked Flycatcher
C4C,Little Egret
,Lesser Black-backed Gull
,Mountain Leaf Warbler
A5E,Philippine Cuckoo-Dove
C5I,Brahminy Kite
H1A,Asian Brown Flycatcher
,Crimson Rosella
F5B,Oriental Skylark
G4F,Warbling White-eye
B4N,Terek Sandpiper
,Writhe-billed Hornbill
F4A,Elegant Tit
B4D,Greater Sand-Plover
F7A,Oriental Reed Warbler
D1A,Common Kingfisher
E4A,Philippine Oriole
C4C,Chinese Egret
B4K,Broad-billed Sandpiper
,Forest Wagtail
,White-shouldered Starling
D7C,Blue-naped Parrot
A9D,House Swift
F6C,Golden-headed Cisticola
H4D,Maroon-naped Sunbird
B4D,Lesser Sand-Plover
B2E,White-breasted Waterhen
A9D,Pacific Swift
F1A,Brown Shrike
A7A,Philippine Frogmouth
H4D,Handsome Sunbird
B4K,Curlew Sandpiper
A6A,Philippine Coucal
H9B,Pechora Pipit
A5I,Philippine Green-Pigeon
B4D,Pacific Golden-Plover
D4E,White-bellied Woodpecker
C5F,Gray-faced Buzzard
B8B,Wedge-tailed Shearwater
